time,value
2021-05-30 15:57:00,
2021-05-30 16:58:00,
2021-05-30 16:58:00,
2021-05-30 16:59:00,69.0
2021-05-30 17:02:00,
2021-05-30 17:02:00,
2021-05-30 17:14:00,66.0
2021-05-30 17:14:00,
2021-05-30 17:14:00,
2021-05-30 17:30:00,62.0
2021-05-30 17:42:00,
2021-05-30 17:42:00,
2021-05-30 17:45:00,60.0
2021-05-30 18:00:00,62.0
2021-05-30 18:15:00,64.0
2021-05-30 18:30:00,67.0
2021-05-30 18:45:00,69.0
2021-05-30 18:55:00,
2021-05-30 18:59:00,73.0
2021-05-30 19:04:00,
2021-05-30 19:04:00,
2021-05-30 19:05:00,
2021-05-30 19:14:00,75.0
2021-05-30 19:29:00,74.0
2021-05-30 19:44:00,70.0
2021-05-30 19:58:00,
2021-05-30 19:58:00,
2021-05-30 19:59:00,68.0
2021-05-30 20:14:00,69.0
2021-05-30 20:29:00,71.0
2021-05-30 20:44:00,69.0
2021-05-30 20:59:00,67.0
2021-05-30 21:14:00,68.0
2021-05-30 21:29:00,71.0
2021-05-30 21:40:00,
2021-05-30 21:40:00,
2021-05-30 21:44:00,67.0
2021-05-30 21:59:00,59.0
2021-05-30 22:14:00,58.0
2021-05-30 22:39:00,
2021-05-31 04:16:00,55.0
2021-05-31 04:31:00,63.0
2021-05-31 04:46:00,60.0
2021-05-31 05:01:00,54.0
2021-05-31 05:16:00,41.0
2021-05-31 05:31:00,40.0
2021-05-31 05:46:00,43.0
2021-05-31 06:01:00,53.0
2021-05-31 06:16:00,59.0
2021-05-31 06:31:00,58.0
2021-05-31 06:46:00,55.0
2021-05-31 07:01:00,61.0
2021-05-31 07:16:00,66.0
2021-05-31 07:31:00,66.0
2021-05-31 07:46:00,55.0
2021-05-31 08:01:00,45.0
2021-05-31 08:05:00,
2021-05-31 08:05:00,
2021-05-31 08:16:00,56.0
2021-05-31 08:31:00,63.0
2021-05-31 08:46:00,63.0
2021-05-31 09:01:00,63.0
2021-05-31 09:16:00,62.0
2021-05-31 09:31:00,63.0
2021-05-31 09:46:00,64.0
2021-05-31 09:50:00,
2021-05-31 09:50:00,
2021-05-31 10:01:00,70.0
2021-05-31 10:03:00,
2021-05-31 10:16:00,65.0
2021-05-31 10:31:00,62.0
2021-05-31 10:46:00,60.0
2021-05-31 11:01:00,63.0
2021-05-31 11:02:00,
